title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Why collective behaviours self-organize to criticality: a primer on information-theoretic and thermodynamic utility measures,"Q Chen, M Prokopenko",2025,1,"… A canonical framework describing the mechanism behind such dynamics is the theory of self-organized criticality (SOC), initially introduced by Bak et al. [23] based on a mathematical …",pT-0Lg806D0J,"Q Chen, M Prokopenko - Royal Society Open Science, 2025 - royalsocietypublishing.org",[],https://royalsocietypublishing.org/rsos/article/12/6/241655/235469,unknown,unknown
Self-organized criticality of molecular biology and thermodynamic analysis of life system based on optimized particle swarm algorithm,"J Li, F Xie",2020,7,"… model of biological self-organized criticality and thermodynamic … of biological self-organized criticality and thermodynamic … , to any open Non-equilibrium thermodynamics system that is …",AP-kNlnoM-oJ,"J Li, F Xie - Cellular and Molecular Biology, 2020 - cellmolbiol.org",[],http://www.cellmolbiol.org/index.php/CMB/article/view/3522,unknown,unknown
Non-equilibrium thermodynamics of cancer: Entropy dynamics and metastatic growth,KW Fornalski,2025,1,"… In this study, we apply non-equilibrium stochastic thermodynamics to analyze different … tumor entropy and self-organization. Our results reveal a relationship between entropy production …",mv31K6ArxgoJ,"KW Fornalski - Biochimica et Biophysica Acta (BBA)-General Subjects, 2025 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0304416525001436,unknown,unknown
Non-Equilibrium Thermodynamics of Cytoskeletal Self-Organization,C Floyd,2021,1,"… characteristic SOC Self-organized criticality STORM Stochastic … In several research groups, measuring entropy production in … entropy production rates of self-organizing non-equilibrium …",1BaGgT6tiK4J,C Floyd - 2021 - search.proquest.com,[],https://search.proquest.com/openview/a002f2405b79e8b9936ca833a785df4c/1?pq-origsite=gscholar&cbl=18750&diss=y,unknown,unknown
On the thermodynamics of self-organization in dissipative systems: Reflections on the unification of physics and biology,"BJ Chung, B De Bari, J Dixon, D Kondepudi, J Pateras…",2022,17,"… for dissipative, self-organized systems based on … of non-equilibrium thermodynamics, which require that we examine the time rate of change of entropy, ie, the rate of entropy production (…",uwio6e8dP2YJ,"BJ Chung, B De Bari, J Dixon, D Kondepudi, J Pateras… - Fluids, 2022 - mdpi.com",[],https://www.mdpi.com/2311-5521/7/4/141,unknown,unknown
