t,kid_k,c_parameter,mean_ai,max_ai,entropy_production,eta_toast
8900,55.38,5.538,0.0,0,0.0,0.5182306680449967
9000,55.76,5.576,0.0,0,0.0,0.5157736456686853
9100,56.08,5.608,0.0,0,0.0,0.513721719655975
9200,56.48,5.648,0.0,0,0.0,0.5111785924777101
9300,56.96,5.696,0.0,0,0.0,0.5081583684119623
9400,57.32,5.732,0.0,0,0.0,0.5059154686920231
9500,57.74,5.774,0.0,0,0.0,0.5033225477256384
9600,58.24,5.824,0.0,0,0.0,0.5002686882652634
9700,58.58,5.858,0.0,0,0.0,0.4982122447098118
9800,58.94,5.894,0.0,0,0.0,0.49605241087447205
9900,59.34,5.934,0.0,0,0.0,0.49367354933894414
10000,59.94,5.994,0.0,0,0.0,0.49014601264910346
10100,60.32,6.032,0.0,0,0.0,0.4879368296530989
10200,60.72,6.072,0.0,0,0.0,0.4856319485678016
10300,61.06,6.106,0.0,0,0.0,0.4836891939667338
10400,61.38,6.138,0.0,0,0.0,0.481874326265032
10500,61.78,6.178,0.0,0,0.0,0.4796240889917732
10600,62.14,6.214,0.0,0,0.0,0.47761610686917877
10700,62.54,6.254,0.0,0,0.0,0.47540392800405074
10800,63.02,6.3020000000000005,0.0,0,0.0,0.4727752499831018
10900,63.48,6.348,0.0,0,0.0,0.4702822790110382
11000,63.86,6.386,0.0,0,0.0,0.4682419275377653
11100,64.34,6.434,0.0,0,0.0,0.4656889514825795
11200,64.7,6.470000000000001,0.0,0,0.0,0.463791802641176
11300,65.12,6.5120000000000005,0.0,0,0.0,0.4615972626261595
11400,65.8,6.58,0.0,0,0.0,0.4580864794870545
11500,66.2,6.62,0.0,0,0.0,0.45604535653515754
11600,66.7,6.67,0.0,0,0.0,0.4535185937523904
11700,67.04,6.704000000000001,0.0,0,0.0,0.45181583598330327
11800,67.42,6.742,0.0,0,0.0,0.4499273622904946
11900,67.86,6.786,0.0,0,0.0,0.4477597463460172
12000,68.18,6.8180000000000005,0.0,0,0.0,0.44619598291418855
12100,68.46,6.845999999999999,0.0,0,0.0,0.4448363601937345
12200,68.86,6.886,0.0,0,0.0,0.44290793824682423
12300,69.16,6.9159999999999995,0.0,0,0.0,0.4414722448263615
12400,69.5,6.95,0.0,0,0.0,0.43985601835370436
12500,69.96,6.9959999999999996,0.0,0,0.0,0.43768757815626175
12600,70.24,7.023999999999999,0.0,0,0.0,0.4363778057651572
12700,70.56,7.056,0.0,0,0.0,0.4348902271980939
12800,70.98,7.098000000000001,0.0,0,0.0,0.4329526891528394
12900,71.34,7.134,0.0,0,0.0,0.4313052655214728
13000,71.72,7.172,0.0,0,0.0,0.4295795080272429
13100,72.16,7.215999999999999,0.0,0,0.0,0.4275979896257712
13200,72.6,7.26,0.0,0,0.0,0.42563420082195474
13300,73.02,7.302,0.0,0,0.0,0.42377600437727764
13400,73.3,7.33,0.0,0,0.0,0.42254596916797926
13500,73.52,7.351999999999999,0.0,0,0.0,0.421584386606186
13600,73.84,7.384,0.0,0,0.0,0.4201933162403123
13700,74.28,7.428,0.0,0,0.0,0.4182951532949246
13800,74.74,7.473999999999999,0.0,0,0.0,0.4163285227539914
13900,75.02,7.502,0.0,0,0.0,0.4151402570339076
14000,75.48,7.548,0.0,0,0.0,0.41320241947862923
14100,75.74,7.574,0.0,0,0.0,0.4121149161821705
14200,76.3,7.63,0.0,0,0.0,0.4097914923956288
14300,76.54,7.654000000000001,0.0,0,0.0,0.4088035584603243
14400,77.02,7.702,0.0,0,0.0,0.4068415944661936
14500,77.44,7.744,0.0,0,0.0,0.4051399197588581
14600,77.76,7.776000000000001,0.0,0,0.0,0.4038527217263624
14700,78.24,7.824,0.0,0,0.0,0.40193685892509423
14800,78.6,7.859999999999999,0.0,0,0.0,0.4005115949635413
14900,79.0,7.9,0.0,0,0.0,0.3989395278373942
15000,79.44,7.944,0.0,0,0.0,0.3972241512283947
15100,80.02,8.001999999999999,0.0,0,0.0,0.39498492546596947
15200,80.56,8.056000000000001,0.0,0,0.0,0.39292224899798966
15300,80.98,8.098,0.0,0,0.0,0.39133248323946357
15400,81.44,8.144,0.0,0,0.0,0.3896057174830399
15500,81.82,8.181999999999999,0.0,0,0.0,0.38819048813744056
15600,82.16,8.216,0.0,0,0.0,0.3869327498070988
15700,82.52,8.251999999999999,0.0,0,0.0,0.38560971100954045
15800,82.88,8.288,0.0,0,0.0,0.3842955188026598
15900,83.3,8.33,0.0,0,0.0,0.3827733607202388
16000,83.62,8.362,0.0,0,0.0,0.3816215410527707
16100,84.08,8.408,0.0,0,0.0,0.37997767134064514
16200,84.42,8.442,0.0,0,0.0,0.37877154633326754
16300,84.82,8.482,0.0,0,0.0,0.3773621672671821
16400,85.3,8.53,0.0,0,0.0,0.37568445148638696
16500,85.74,8.574,0.0,0,0.0,0.37415936876251044
16600,86.12,8.612,0.0,0,0.0,0.3728520096169149
16700,86.38,8.638,0.0,0,0.0,0.37196266197632577
16800,86.8,8.68,0.0,0,0.0,0.37053479953555085
16900,87.2,8.72,0.0,0,0.0,0.36918491422378025
17000,87.62,8.762,0.0,0,0.0,0.3677779041201073
17100,87.96,8.796,0.0,0,0.0,0.36664659753124623
17200,88.36,8.836,0.0,0,0.0,0.3653243820866356
17300,88.74,8.873999999999999,0.0,0,0.0,0.3640769379824845
17400,89.3,8.93,0.0,0,0.0,0.3622538028029033
17500,89.64,8.964,0.0,0,0.0,0.3611556400311293
17600,89.9,8.99,0.0,0,0.0,0.3603202802402002
17700,90.26,9.026,0.0,0,0.0,0.35916988859088056
17800,90.72,9.072,0.0,0,0.0,0.3577104261548779
17900,91.12,9.112,0.0,0,0.0,0.35645078913635636
18000,91.6,9.16,0.0,0,0.0,0.3549507099014198
18100,91.92,9.192,0.0,0,0.0,0.35395754727443446
18200,92.26,9.226,0.0,0,0.0,0.3529082936853399
18300,92.76,9.276,0.0,0,0.0,0.35137636044699194
18400,93.18,9.318000000000001,0.0,0,0.0,0.35009962885606954
18500,93.46,9.346,0.0,0,0.0,0.34925354248884594
18600,93.72,9.372,0.0,0,0.0,0.34847149219121937
18700,94.14,9.414,0.0,0,0.0,0.3472154475540361
18800,94.84,9.484,0.0,0,0.0,0.345141762138662
18900,95.18,9.518,0.0,0,0.0,0.3441433316842077
19000,95.42,9.542,0.0,0,0.0,0.34344198042279933
19100,95.8,9.58,0.0,0,0.0,0.3423372557988286
19200,96.28,9.628,0.0,0,0.0,0.3409517951954835
19300,96.68,9.668000000000001,0.0,0,0.0,0.33980566827346803
19400,97.04,9.704,0.0,0,0.0,0.33878063548879367
19500,97.5,9.75,0.0,0,0.0,0.337479718766901
19600,97.9,9.790000000000001,0.0,0,0.0,0.3363564760217171
19700,98.42,9.842,0.0,0,0.0,0.33490724767255287
19800,98.78,9.878,0.0,0,0.0,0.33391113684234797
19900,99.16,9.916,0.0,0,0.0,0.33286601397715
20000,99.58,9.958,0.0,0,0.0,0.3317183687730894
20100,100.12,10.012,0.0,0,0.0,0.330254258835159
20200,100.54,10.054,0.0,0,0.0,0.3291243024972495
20300,100.94,10.094,0.0,0,0.0,0.3280552320990767
20400,101.38,10.138,0.0,0,0.0,0.3268871518033559
20500,101.84,10.184000000000001,0.0,0,0.0,0.32567473255273727
